task,model,n,threshold,accuracy,balanced_accuracy,f1,roc_auc,pr_auc,sensitivity,specificity,brier,inference_ms_per_image,roc_auc_ci95,fit_seconds,selected_classifier,validation_auc,blend_feature_weight,meta_C,coefficients,temperature,pr_threshold,uncertainty_threshold,coverage,selective_accuracy,selective_f1
stage2,small_cnn,417,0.5,0.6594724220623501,0.6684903920807453,0.6162162162162163,0.7524990295031055,0.6620824478052848,0.7080745341614907,0.62890625,0.2136914844957433,0.0,"[0.7014055958519155, 0.7983075877311863]",,,,,,,,,,,,
stage2,resnet18,417,0.5,0.7266187050359713,0.7358550077639752,0.6868131868131868,0.788189052795031,0.7477710184536073,0.7763975155279503,0.6953125,0.1950561771442538,0.0,"[0.739985601935138, 0.8329498637217242]",,,,,,,,,,,,
stage2,efficientnet_b0,417,0.5,0.7362110311750599,0.7505822981366459,0.7043010752688172,0.8233695652173912,0.731434761691092,0.8136645962732919,0.6875,0.1917811971254522,0.0,"[0.7841399095048303, 0.8623339452200376]",,,,,,,,,,,,
stage2,pneunet,417,0.5,0.7074340527577938,0.7133152173913043,0.6611111111111111,0.795322204968944,0.6998467306994727,0.7391304347826086,0.6875,0.1988572072857514,0.0,"[0.7505633825859, 0.8384913222640314]",,,,,,,,,,,,
stage2,pneunet_no_attention,417,0.5,0.750599520383693,0.7588436529503105,0.7111111111111111,0.8429978649068322,0.7368978329192175,0.7950310559006211,0.72265625,0.1724910436102733,0.0,"[0.8032199939958338, 0.8790037838619492]",,,,,,,,,,,,
stage2,pneunet_avg_pool,417,0.5,0.750599520383693,0.7369468167701863,0.6770186335403726,0.8127668866459627,0.7052387330671466,0.6770186335403726,0.796875,0.1864844985457336,4.350741007193682,"[0.7713766289344021, 0.8544213041214656]",,,,,,,,,,,,
stage2,deep_ensemble,417,0.5,0.750599520383693,0.7519288625776397,0.7011494252873564,0.8364712732919254,0.7796863932178492,0.7577639751552795,0.74609375,0.1713144496667208,0.0,"[0.7973460633583661, 0.874492532038522]",,,,,,,,,,,,
stage2,pneunet_hr,417,0.6897405982017517,0.7410071942446043,0.7291343167701863,0.6687116564417178,0.8119904891304349,0.7508105851005866,0.6770186335403726,0.78125,0.2155594678026421,0.0,"[0.767965099843299, 0.8534544504366699]",,,,,,,,,,,,
stage2,pneunet_v2,417,0.496858537197113,0.7769784172661871,0.754973796583851,0.6950819672131148,0.8460306677018634,0.7772258861975284,0.6583850931677019,0.8515625,0.1833760669176197,0.0,"[0.8068733546505393, 0.8815568595955959]",,,,,,,,,,,,
stage2,pneunet_eq,417,0.6319076418876648,0.7673860911270983,0.7609908773291926,0.7087087087087087,0.8433860636645962,0.7631210764940085,0.7329192546583851,0.7890625,0.1807070755641366,0.0,"[0.8034675474731238, 0.8810813368857655]",,,,,,,,,,,,
stage2,pneunet_embedding_svm,417,0.6348699763593381,0.7649880095923262,0.7475131017080745,0.6878980891719745,0.8530061141304348,0.7607771172859004,0.6708074534161491,0.82421875,0.1660476455189398,0.0,"[0.8146349458459724, 0.8868033215426188]",,logreg_C0.001,0.8748453868484161,0.45,,,,,,,,
stage2,validation_stacked_ensemble,417,0.4787095564921205,0.762589928057554,0.7524747670807453,0.6972477064220184,0.8566818711180124,0.7873371062345926,0.7080745341614907,0.796875,0.1544452694749602,0.0,"[0.820173113666788, 0.8905820942565502]",,,0.8962009339896504,,1.0,"{""resnet18"": 0.802329739893052, ""efficientnet_b0"": 1.8692522626557218, ""pneunet"": 1.12634547940108, ""pneunet_no_attention"": 0.7568819240646033, ""pneunet_avg_pool"": 0.2712316834741736, ""pneunet_hr"": 0.20332381214878942, ""pneunet_v2"": 1.0159766653966003, ""pneunet_eq"": 0.7942797160128795, ""pneunet_embedding_svm"": 0.4351403756575266}",,,,,,
stage2,cernet_resnet50,417,0.4870421588420868,0.7194244604316546,0.7034889363354038,0.6355140186915887,0.7764945652173912,0.7061947658247949,0.6335403726708074,0.7734375,0.1853412613466256,0.0,"[0.7289790670387166, 0.8210455337051792]",,,0.8467499684462957,,,,1.3,0.4870421588420868,0.57,0.8800959232613909,0.7465940054495913,0.651685393258427
stage2,cernet_resnet50_tuned,417,0.7451735734939575,0.7410071942446043,0.7129998059006211,0.6375838926174496,0.8192934782608695,0.7337179988883731,0.5900621118012422,0.8359375,0.1963873532006783,0.0,"[0.7762171643261002, 0.8581343631116357]",,,0.8422819639025622,,,,1.3,0.7451735734939575,0.57,0.8633093525179856,0.7583333333333333,0.6859205776173285
